"new_id","Date","Year","dhw_max","parrot","macro","ssta_freq_sd","temp_max","depth","exposure_fac","cyclone_mag","turbidity","urchin_sum_all"
92,"2016-05-28",2016,2.64999994076788,NA,0.03125,1.3,304.14,5,0,48.098583,NA,0
96,"2016-05-29",2016,1.70999996177852,NA,0,3.37,303.52,5,0,48.368265,NA,0
96,"2008-05-25",2008,0,NA,0.00625,3.37,303.52,5,0,48.368265,0.120708004,0
96,"2009-05-24",2009,0,1.5,0.0125,3.37,303.52,5,0,48.368265,0.122037999,0
97,"2016-05-29",2016,1.70999996177852,0,0.00625,3.37,303.52,5,0,48.368265,NA,0
97,"2009-05-23",2009,0,NA,0,3.37,303.52,5,0,48.368265,0.122037999,0
107,"2016-06-25",2016,5.87999986857176,NA,0.20625,2.04,306.14,3,0,43.515561,NA,0
112,"2015-10-24",2015,3.97999991104007,NA,0,2.17,306.11,5,0,43.515561,0.049466728,0
123,"2013-06-16",2013,2.39999994635582,NA,0.05625,1.46,305.77,4,0,43.390537,0.045036273,0
166,"2003-07-15",2003,0,5,0.05,1.318,303.872,10,1,55.636439,NA,0
166,"2008-08-20",2008,0.759999983012676,1.5,0,1.318,303.872,10,1,55.636439,0.0656,0
168,"2000-02-27",2000,1.33999997004867,NA,0,1.2075,304.31,10,1,55.177613,NA,1
173,"2006-05-16",2006,5.32999988086522,NA,0,1.43,304.35,6,0,42.613601,NA,NA
173,"2007-10-31",2007,0,2.66666666666667,0.05,1.43,304.35,6,0,42.613601,0.0274,0
199,"2006-10-05",2006,0,4.75,0,1.01,304.634,2,0,51.304115,0.0212868,87.5
200,"2016-12-14",2016,0.65999998524785,0,0.35625,1.52,304.85,2,0,51.304115,0.026999999,1.75
201,"2005-04-27",2005,0,NA,0,1.26,305.85,12,1,51.304115,NA,NA
224,"2013-04-28",2013,2.78999993763864,NA,0,1.66,305.79,5,0,36.004244,0.079039,0.5
226,"2016-10-30",2016,3.00999993272126,NA,0,1.66,305.79,3,0,36.004244,NA,0
226,"2009-02-14",2009,0.789999982342124,10.25,0.03125,1.66,305.79,3,0,36.004244,0.091624998,0
226,"2015-09-12",2015,1.85999995842576,NA,0,1.66,305.79,3,0,36.004244,0.041199999,0
227,"2016-10-30",2016,3.00999993272126,NA,0.00625,1.66,305.79,7,0,36.004244,NA,0
234,"2002-03-08",2002,2.56999994255602,7.75,0,1.33,304.16,5,0,43.94858,NA,0
235,"2002-03-08",2002,2.56999994255602,7,0,1.33,304.16,10,0,43.94858,NA,0
236,"2002-06-13",2002,3.81999991461635,1.25,0,1.33,304.16,5,0,43.94858,NA,0
237,"2002-06-13",2002,3.81999991461635,1.75,0,1.33,304.16,10,0,43.94858,NA,0
238,"2002-06-21",2002,4.1899999063462,5,0,1.33,304.16,5,0,43.94858,NA,0
239,"2002-06-13",2002,3.81999991461635,3.25,0,1.33,304.16,5,0,43.94858,NA,0
240,"2002-06-13",2002,3.81999991461635,2.5,0,1.33,304.16,10,0,43.94858,NA,0
242,"2002-06-20",2002,3.81999991461635,4,0,1.18,304.98,5,0,43.94858,NA,0
243,"2002-06-20",2002,3.81999991461635,6.25,0,1.18,304.98,10,0,43.94858,NA,0
251,"2002-03-06",2002,2.56999994255602,7,0,1.4175,304.5525,5,0,45.117132,NA,0
